ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,NumrOfKptsInROI,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime
Evaluate detector SHITOMASI and descriptor BRISK
8,AKAZE,1357,67.3959,177,BRISK,2.0831,BF,KNN,140,1.14664
9,AKAZE,1331,65.7754,179,BRISK,2.07891,BF,KNN,127,0.976023
Evaluate detector AKAZE and descriptor BRIEF
0,AKAZE,1351,71.2297,166,BRIEF,0.865102
1,AKAZE,1327,71.055,157,BRIEF,1.01336,BF,KNN,108,0.63375
2,AKAZE,1311,72.8563,161,BRIEF,0.869009,BF,KNN,116,0.459759
3,AKAZE,1351,71.5401,155,BRIEF,0.99084,BF,KNN,110,0.439535
4,AKAZE,1360,67.5388,163,BRIEF,0.799608,BF,KNN,109,0.466458
5,AKAZE,1347,70.7501,164,BRIEF,0.814159,BF,KNN,116,0.482409
6,AKAZE,1363,70.7963,173,BRIEF,0.839571,BF,KNN,129,0.528031
7,AKAZE,1331,70.4981,175,BRIEF,1.00347,BF,KNN,133,0.564805
8,AKAZE,1357,67.2102,177,BRIEF,0.97198,BF,KNN,135,0.627073
9,AKAZE,1331,65.4624,179,BRIEF,0.963919,BF,KNN,131,0.683582
Evaluate detector AKAZE and descriptor ORB
0,AKAZE,1351,67.3909,166,ORB,2.99557
1,AKAZE,1327,67.1721,157,ORB,3.37166,BF,KNN,102,1.58031
2,AKAZE,1311,72.8169,161,ORB,2.95766,BF,KNN,96,0.488013
3,AKAZE,1351,68.9372,155,ORB,2.94778,BF,KNN,96,0.557266
4,AKAZE,1360,69.0143,163,ORB,2.83764,BF,KNN,84,0.496153
5,AKAZE,1347,69.2711,164,ORB,3.15545,BF,KNN,90,0.547595
6,AKAZE,1363,69.3757,173,ORB,3.23317,BF,KNN,116,0.546075
7,AKAZE,1331,66.6977,175,ORB,3.65766,BF,KNN,103,0.58995
8,AKAZE,1357,68.5881,177,ORB,2.91656,BF,KNN,113,0.618386
9,AKAZE,1331,72.733,179,ORB,2.76899,BF,KNN,118,0.613115
Evaluate detector AKAZE and descriptor FREAK
0,AKAZE,1351,71.2406,166,FREAK,39.4415
1,AKAZE,1327,67.2581,157,FREAK,38.6747,BF,KNN,103,0.861505
2,AKAZE,1311,64.1513,161,FREAK,39.4333,BF,KNN,105,0.884335
3,AKAZE,1351,70.4132,155,FREAK,38.9346,BF,KNN,93,0.926679
4,AKAZE,1360,71.5711,163,FREAK,44.1521,BF,KNN,99,1.10637
5,AKAZE,1347,67.8623,164,FREAK,39.9078,BF,KNN,97,0.97635
6,AKAZE,1363,67.7195,173,FREAK,40.3114,BF,KNN,115,0.910757
7,AKAZE,1331,62.2679,175,FREAK,40.1919,BF,KNN,126,0.984135
8,AKAZE,1357,65.28,177,FREAK,40.423,BF,KNN,118,1.01567
